paper title (separate scrape),paper authors (separate scrape),title,paper identifier,paper link,impact statement,impact statement title,word count,sentence count,opt out,ambiguous opt out,manually corrected,human review,Image based PDF,paper title (subjects),primary subject area,secondary subject areas,clustering subject preference,authors,affiliations,academic,industry,mixed,country
Robust Gaussian Covariance Estimation in Nearly-Matrix Multiplication Time,"Jerry Li, Guanghao Ye",Robust Gaussian Covariance Estimation in Nearly-Matrix Multiplication Time,9529fbba677729d3206b3b9073d1e9ca,https://proceedings.neurips.cc/paper/2020/file/9529fbba677729d3206b3b9073d1e9ca-Paper.pdf,"Moving forward, it is imperative that machine learning systems cannot be gamed by malicious entities. This work builds upon a growing literature of principled algorithms for robust statistics, which are methods for defending against data poisoning attacks, where a training set may be tampered with by an adversary who wishes to change the behavior of the algorithm. For instance, such defenses are important in where the training data is crowdsourced, such as in federated learning, where we cannot fully trust the training data. In such settings, if the defense fails, attackers can completely invalidate the output of the model. That is why we believe it is critical to develop principled defenses, with provable worst-case guarantees, as we do here. With such defenses, we know that this worst-case behavior cannot happen. The algorithms developed here are also useful for exploratory data analysis, as demonstrated in [DKK + 17]. Most real-world high-dimensional datasets are inherently very noisy, and this noise can disguise interesting patterns from data analysts. These methods can be used in exploratory data analysis to remove this noise, and to recover these phenomena. We do not believe that this method leverages any biases in the data. Our generative model, as stated in the introduction, is very simple, and does not introduce any biases in this problem.",Broader Impact,216,11,,,FALSE,FALSE,FALSE,Robust Gaussian Covariance Estimation in Nearly-Matrix Multiplication Time,Theory -> Computational Learning Theory,Algorithms,,"['Jerry Li', ' Guanghao Ye']","{'Microsoft', 'University of Washington'}",1,1,1,{'USA'}
Adversarially-learned Inference via an Ensemble of Discrete Undirected Graphical Models,"Adarsh K Jeewajee, Leslie Kaelbling",Adversarially-learned Inference via an Ensemble of Discrete Undirected Graphical Models,95424358822e753eb993c97ee76a9076,https://proceedings.neurips.cc/paper/2020/file/95424358822e753eb993c97ee76a9076-Paper.pdf,"Graphical models are interpretable models as they expose their independence structures. Such models provide transparency that would allow practitioners to understand biases that may have been imparted to the parameters. If one wishes to understand ways in which a graphical model is biased, one may condition on variables of interest and see exactly how the rest of the variables react. The fact that our graphical model comes as an ensemble, makes it an editable model. For instance, if the model shows biases towards some characteristic of the data distribution being modeled, one can adapt our approach, and use a weighted recombination [Baruque, 2010] of the individual models in our ensemble, such that the models showing the undesirable bias are suppressed, or they can be completely zeroed out. This is not easy to do in black-box models such as neural networks. As with most approaches, there are modes of the failure to our model, and the consequences would depend on the setting where the model is used, but the ability to perform arbitrary conditioning with our model can be seen as a safety feature. If our model is used in critical situations where certain combinations of variables have high importance, then our models can be queried with those combinations of variables and their response to such conditions can be well understood and improved, or made safer, if needed.",Broader Impact,227,8,,,FALSE,FALSE,FALSE,Adversarially-learned Inference via an Ensemble of Discrete Undirected Graphical Models,Deep Learning -> Adversarial Networks,Algorithms -> Density Estimation; Algorithms -> Missing Data; Deep Learning -> Efficient Training Methods; Deep Learning -> Generative Models; Probabilistic Methods -> Belief Propagation; Probabilistic Methods -> Graphical Models,Probabilistic methods and inference,"['Adarsh K Jeewajee', ' Leslie Kaelbling']",{'MIT'},1,0,0,{'USA'}
GS-WGAN: A Gradient-Sanitized Approach for Learning Differentially Private Generators,"Dingfan Chen, Tribhuvanesh Orekondy, Mario Fritz",GS-WGAN: A Gradient-Sanitized Approach for Learning Differentially Private Generators,9547ad6b651e2087bac67651aa92cd0d,https://proceedings.neurips.cc/paper/2020/file/9547ad6b651e2087bac67651aa92cd0d-Paper.pdf,"The success of many machine learning methods hinges upon the availability of (large) datasets, which is problematic if the data is sensitive and contains private information, e.g., in the health domain, where diagnosis, treatment and personalized medicine are subject to strict privacy constraints. In contrast to direct privacy-preserving analysis, privacy-preserving generative models provide a safe way to release data, yielding several important implications: (1) allowing for wide applications without changing analysis algorithms as a result of sanitized data; (2) promoting new scientific discovery that could be handicapped due to data protection hurdles; (3) providing public benchmarks/datasets in domains with sensitive data to foster fair comparison and reproducible research. This work contributes to making the latest advances in generative modeling complying with data privacy—a commonly agreed societal value. Our method improves the state of the art in privacy- preserving data generation. In particular, the success of our approach on high-dimensional data shows its potential in a broader range of applications.",7 Broader Impact,159,5,,,FALSE,FALSE,FALSE,GS-WGAN: A Gradient-Sanitized Approach for Learning Differentially Private Generators,"Social Aspects of Machine Learning -> Privacy, Anonymity, and Security",Deep Learning -> Generative Models,"Social aspects of machine learning (e.g., fairness, safety, privacy)","['Dingfan Chen', ' Tribhuvanesh Orekondy', ' Mario Fritz']","{'Max Planck Institute for Informatics', 'cispa- Helmholtz Center for Information Security'}",1,0,0,{'Germany'}
SurVAE Flows: Surjections to Bridge the Gap between VAEs and Flows,"Didrik Nielsen, Priyank Jaini, Emiel Hoogeboom, Ole Winther, Max Welling",SurVAE Flows: Surjections to Bridge the Gap between VAEs and Flows,9578a63fbe545bd82cc5bbe749636af1,https://proceedings.neurips.cc/paper/2020/file/9578a63fbe545bd82cc5bbe749636af1-Paper.pdf,"This work constitutes foundational research on generative models/unsupervised learning by providing a unified view on several lines of work and further by introducing new modules that expand the generative modelling toolkit. This work further suggests how to build software libraries to that allows more rapid implementation of a wider range of deep unsupervised models. Unsupervised learning has the potential to greatly reduce the need for labeled data and thus improve models in applications such as medical imaging where a lack of data can be a limitation. However, it may also potentially be used to improve deep fakes with potentially malicious applications.",Broader Impact,101,4,,,FALSE,FALSE,FALSE,SurVAE Flows: Surjections to Bridge the Gap between VAEs and Flows,Algorithms -> Unsupervised Learning,Algorithms -> Density Estimation; Deep Learning -> Generative Models; Probabilistic Methods -> Latent Variable Models; Probabilistic Methods -> Variational Inference,Probabilistic methods and inference,"['Didrik Nielsen', ' Priyank Jaini', ' Emiel Hoogeboom', ' Ole Winther', ' Max Welling']","{'University of Waterloo', 'DTU and KU', 'University of Amsterdam', 'University of Amsterdam / Qualcomm AI Research', 'DTU Compute'}",1,1,1,"{'USA', 'Canada', 'Denmark', 'Netherlands'}"
Learning Causal Effects via Weighted Empirical Risk Minimization,"Yonghan Jung, Jin Tian, Elias Bareinboim",Learning Causal Effects via Weighted Empirical Risk Minimization,95a6fc111fa11c3ab209a0ed1b9abeb6,https://proceedings.neurips.cc/paper/2020/file/95a6fc111fa11c3ab209a0ed1b9abeb6-Paper.pdf,"Learning causal effects is essential throughout the data-driven sciences. Notable merits of our work include providing a practical solution to the estimation of causal effects from finite samples. By and large, these results should be useful in the field of complex systems (e.g., personalized medical treatment, social policy designing) to improve the interpretability/explainability in machine learning systems when deployed in real-world settings. Our work brings together two prominent fields in machine learning: ERM and causal inference, where the former is suitable to estimate high-dimensional functionals, while the latter is useful to determine which functional should be estimated that attains causal semantics.",Broader Impact,101,4,,,FALSE,FALSE,FALSE,Learning Causal Effects via Weighted Empirical Risk Minimization,Probabilistic Methods -> Causal Inference,Probabilistic Methods -> Graphical Models,Causality,"['Yonghan Jung', ' Jin Tian', ' Elias Bareinboim']","{'Columbia University', 'Iowa State University', 'Purdue University'}",1,0,0,{'USA'}
Revisiting the Sample Complexity of Sparse Spectrum Approximation of Gaussian Processes,"Minh Hoang, Nghia Hoang, Hai Pham, David Woodruff",Revisiting the Sample Complexity of Sparse Spectrum Approximation of Gaussian Processes,95b431e51fc53692913da5263c214162,https://proceedings.neurips.cc/paper/2020/file/95b431e51fc53692913da5263c214162-Paper.pdf,"Our work focuses on approximating Gaussian processes using a mixture of practical methods and theoretical analysis to reconfigure data in ways that reduce their approximation complexity. As such, it could have significant broader impact by allowing users to more accurately solve practical problems such as the ones discussed in our introduction, while still providing concrete theoretical guarantees. While applications of our work to real data could result in ethical considerations, this is an indirect (and unpredictable) side-effect of our work. Our experimental work uses publicly available datasets to evaluate the performance of our algorithms; no ethical considerations are raised.",6 Statement of Broader Impact,99,4,,,FALSE,FALSE,FALSE,Revisiting the Sample Complexity of Sparse Spectrum Approximation of Gaussian Processes,Theory -> Statistical Learning Theory,Algorithms -> Kernel Methods,,"['Minh Hoang', ' Nghia Hoang', ' Hai Pham', ' David Woodruff']","{'IBM Research', 'Carnegie Mellon University'}",1,1,1,{'USA'}
Incorporating Interpretable Output Constraints in Bayesian Neural Networks,"Wanqian Yang, Lars Lorch, Moritz Graule, Himabindu Lakkaraju, Finale Doshi-Velez",Incorporating Interpretable Output Constraints in Bayesian Neural Networks,95c7dfc5538e1ce71301cf92a9a96bd0,https://proceedings.neurips.cc/paper/2020/file/95c7dfc5538e1ce71301cf92a9a96bd0-Paper.pdf,"Our work incorporates task-specific domain knowledge, in the form of output constraints, into BNNs. We wish to highlight two key positive impacts. ( 1) OC-BNNs allow us to manipulate an interpretable form of knowledge. They can be useful even to domain experts without technical machine learning expertise, who can easily specify such constraints for model behavior. A tool like this can be used alongside experts in the real world, such as physicians or judges. (2) Bayesian models like BNNs and OC-BNNs are typically deployed in “high-stakes” domains, which include those with societal impact. We intentionally showcase applications of high societal relevance , such as recidivism prediction and credit scoring, where the ability to specify and satisfy constraints can lead to fairer and more ethical model behavior. That being said, there are considerations and limitations. (1) If the model capacity is low (e.g. the BNN is small), constraints and model capacity may interact in unexpected ways that are not transparent to the domain expert. (2) Our sampling approach allows us to be very general in specifying constraints, but it also creates a trade-off between computational efficiency and accuracy of constraint enforcement. (3) Finally, the expert could mis-specify or even maliciously specify constraints. The first two considerations can be mitigated by careful optimization and robustness checks; the latter by making the constraints public and reviewable by others.",Broader Impact,225,12,,,FALSE,FALSE,FALSE,Incorporating Interpretable Output Constraints in Bayesian Neural Networks,Probabilistic Methods,"Social Aspects of Machine Learning -> Fairness, Accountability, and Transparency",Probabilistic methods and inference,"['Wanqian Yang', ' Lars Lorch', ' Moritz Graule', ' Himabindu Lakkaraju', 'Velez']","{'Harvard University', 'Harvard'}",1,0,0,{'USA'}
Multi-Stage Influence Function,"Hongge Chen, Si Si, Yang Li, Ciprian Chelba, Sanjiv Kumar, Duane Boning, Cho-Jui Hsieh",Multi-Stage Influence Function,95e62984b87e90645a5cf77037395959,https://proceedings.neurips.cc/paper/2020/file/95e62984b87e90645a5cf77037395959-Paper.pdf,"Multi-stage training has been used in many real applications but currently there is no data attribution method to explain how pretraining data influence the model’s prediction in the end tasks. This paper provides a tool for doing this, which will be widely used in model debugging and fairness evaluation. For instance, our method can be used to investigate whether the bias of the end model is caused by a certain biased or malicious data in the pretraining stage. Although not mentioned in this paper, our method implicitly provides a way for data poisoning attack (similar to the origninal influence function paper). However, attacks will require full knowledge of training data and model, so we believe it is still impractical at the current stage.",Broader Impact,123,5,,,TRUE,TRUE,FALSE,Multi-Stage Influence Function,"Deep Learning -> Visualization, Interpretability, and Explainability",Deep Learning -> Analysis and Understanding of Deep Networks,"Social aspects of machine learning (e.g., fairness, safety, privacy)","['Hongge Chen', ' Si Si', ' Yang Li', ' Ciprian Chelba', ' Sanjiv Kumar', ' Duane Boning', 'Jui Hsieh']","{'UCLA', 'Google Research', 'Google', 'Massachusetts Institute of Technology', 'MIT'}",1,1,1,{'USA'}
Probabilistic Fair Clustering,"Seyed  Esmaeili, Brian Brubach, Leonidas Tsepenekas, John Dickerson",Probabilistic Fair Clustering,95f2b84de5660ddf45c8a34933a2e66f,https://proceedings.neurips.cc/paper/2020/file/95f2b84de5660ddf45c8a34933a2e66f-Paper.pdf,"Guaranteeing that the color proportions are maintained in each cluster satisfies group (demographic) fairness in clustering. In real-world scenarios, however, group membership may not be known with certainty but rather probabilistically (e.g., learned by way of a machine learning model). Our paper addresses fair clustering in such a scenario and therefore both generalizes that particular (and well-known) problem statement and widens the scope of the application. In settings where a groupfairness-aware clustering algorithm is appropriate to deploy, we believe our work could increase the robustness of those systems. That said, we do note (at least) two broader points of discussion that arise when placing potential applications of our work in the greater context of society: • We address a specific definition of fairness. While the formalization we address is a common one that draws directly on legal doctrine such as the notion of disparate impact, as expressed by Feldman et al. [2015] and others, we note that the Fairness, Accountability, Transparancy, and Ethics (FATE) in machine learning community has identified many such definitions Verma and Rubin [2018]. Yet, there is a growing body of work exploring the gaps between the FATE-style definitions of fairness and those desired in industry (see, e.g., recent work due to Holstein et al. [2019] that interviews developers about their wants and needs in this space), and there is growing evidence that stakeholders may not even comprehend those definitions in the first place Saha et al. [2020]. Indeed, “deciding on a definition of fairness” is an inherently morally-laden, application-specific decision, and we acknowledge that making a prescriptive statement about whether or not our model is appropriate for a particular use case is the purview of both technicians, such as ourselves, and policymakers and/or other stakeholders. • Our work is motivated by the assumption that, in many real-world settings, group membership may not be known deterministically. If group membership is being estimated by a machine-learning-based model, then it is likely that this estimator itself could incorporate bias into the membership estimate; thus, our final clustering could also reflect that bias. As an example, take a bank in the United States; here, it may not be legal for a bank to store information on sensitive attributes—a fact made known recently by the “Apple Card” fiasco of late 2019 Knight [2019]. Thus, to audit algorithms for bias, it may be the case that either the bank or a third-party service infers sensitive attributes from past data, which likely introduces bias into the group membership estimate itself. (See recent work due to Chen et al. [2019] for an in-depth discussion from the point of view of an industry-academic team.) We have tried to present this work without making normative statements about, e.g., the definition of fairness used; still, we emphasize the importance of open dialog with stakeholders in any system, and acknowledge that our proposed approach serves as one part of a larger application ecosystem.",Broader Impact,485,18,,,TRUE,TRUE,FALSE,Probabilistic Fair Clustering,Algorithms -> Clustering,"Optimization -> Discrete Optimization; Social Aspects of Machine Learning -> Fairness, Accountability, and Transparency","Core machine learning methods (e.g., supervised learning, ranking, clustering, metric learning, etc.)","['Seyed Esmaeili', ' Brian Brubach', ' Leonidas Tsepenekas', ' John Dickerson']","{'University of Maryland, College Park', 'University of Maryland'}",1,0,0,{'USA'}
Stochastic Segmentation Networks: Modelling Spatially Correlated Aleatoric Uncertainty,"Miguel Monteiro, Loic Le Folgoc, Daniel Coelho de Castro, Nick Pawlowski, Bernardo Marques, Konstantinos Kamnitsas, Mark van der Wilk, Ben Glocker",Stochastic Segmentation Networks: Modelling Spatially Correlated Aleatoric Uncertainty,95f8d9901ca8878e291552f001f67692,https://proceedings.neurips.cc/paper/2020/file/95f8d9901ca8878e291552f001f67692-Paper.pdf,"Proper uncertainty quantification is crucial to increase trust and interpretability in deep learning systems, which is of particular importance in healthcare applications. Reliable uncertainty estimates could help inform clinical decision making, and importantly, provide clinicians with feedback on when to ignore automatically derived measurements. Moreover, uncertainty estimates could be propagated to downstream clinical tasks such as radiotherapy planning, e.g., the amount of radiation delivered to each anatomical region. In medicine, the notion of a second opinion is well established and an essential part of scrutinising the decision process. The ability to generate and manipulate multiple plausible hypotheses could be of great benefit in semi-automatic settings, such as machine aided image segmentation, and help minimise the risk of missing important modes of the target distribution. A complementary prediction might be contradictory yet still very informative.",Broader Impact,134,6,,,FALSE,FALSE,FALSE,Stochastic Segmentation Networks: Modelling Spatially Correlated Aleatoric Uncertainty,Applications -> Image Segmentation,Algorithms -> Structured Prediction; Algorithms -> Uncertainty Estimation,Deep learning,"['Miguel Monteiro', ' Loic Le Folgoc', ' Daniel Coelho de Castro', ' Nick Pawlowski', ' Bernardo Marques', ' Konstantinos Kamnitsas', ' Mark van der Wilk', ' Ben Glocker']","{'Imperial College', 'Imperial College London'}",1,0,0,{'UK'}
ICE-BeeM: Identifiable Conditional Energy-Based Deep Models Based on Nonlinear ICA,"Ilyes Khemakhem, Ricardo Monti, Diederik Kingma, Aapo Hyvarinen",ICE-BeeM: Identifiable Conditional Energy-Based Deep Models Based on Nonlinear ICA,962e56a8a0b0420d87272a682bfd1e53,https://proceedings.neurips.cc/paper/2020/file/962e56a8a0b0420d87272a682bfd1e53-Paper.pdf,"This work is mainly theoretical, and aims to provide theoretical guarantees for the identifiability of a large family of deep models. Identifiability is very important, as it is key for reproducible science and interpretable results. For instance, if the networks behind search engines were identifiable, then their results would be consistent for most users. In addition, using perfectly identifiable networks in real life applications eliminates the randomness and arbitrariness of the system, and gives more control to the operator. In general, identifiability is a desirable property. The system we develop here does not make any decisions, and thus can not exhibit any bias. Our theoretical guarantees abstract away the nature of the data and the practical implementation. Therefore, our work doesn’t encourage the use of biased data or networks with potentially dangerous consequences.",Broader Impact,133,8,,,FALSE,FALSE,FALSE,ICE-BeeM: Identifiable Conditional Energy-Based Deep Models Based on Nonlinear ICA,"Algorithms -> Components Analysis (e.g., CCA, ICA, LDA, PCA)",Algorithms -> Unsupervised Learning; Deep Learning -> Analysis and Understanding of Deep Networks; Probabilistic Methods -> Latent Variable Models,"Learning with limited supervision (e.g., unsupervised learning, active learning, few-shot, meta-learning, transfer learning, etc.)","['Ilyes Khemakhem', ' Ricardo Monti', ' Kingma', ' Aapo Hyvarinen']","{'UCL', 'University of Helsinki', 'Google'}",1,1,1,"{'UK', 'USA', 'Finland'}"
Testing Determinantal Point Processes,"Khashayar Gatmiry, Maryam Aliakbarpour, Stefanie Jegelka",Testing Determinantal Point Processes,964d1775b722eff11b8ecd9e9ed5bd9e,https://proceedings.neurips.cc/paper/2020/file/964d1775b722eff11b8ecd9e9ed5bd9e-Paper.pdf,"Due to their ability to model negative dependencies and repulsion, DPPs have become a popular tool for modeling diversity in subset selection tasks. However, they are not the only models for negative dependence, and sometimes the decision for using DPPs may be solely based on their computational efficiency. If the true data distribution is far from being a DPP, the resulting approximation error may potentially induce biases. Our work poses the question of testing whether given data actually comes from a DPP. Being able to test for such a model fit can help avoid the biases from approximation error. Our work provides an initial theoretical understanding of the DPP testing problem. Our results settle the general sample complexity, and open avenues for further work to improve complexity over the general baseline by identifying additional mathematical structure that may exist in the data.",Broader Impact,142,7,,,FALSE,FALSE,FALSE,Testing Determinantal Point Processes,Theory -> Hardness of Learning and Approximations,Probabilistic Methods -> Graphical Models,Theory (including computational and statistical analyses),"['Khashayar Gatmiry', ' Maryam Aliakbarpour', ' Stefanie Jegelka']","{'Massachusetts Institute of Technology', 'MIT'}",1,0,0,{'USA'}
CogLTX: Applying BERT to Long Texts,"Ming Ding, Chang Zhou, Hongxia Yang, Jie Tang",CogLTX: Applying BERT to Long Texts,96671501524948bc3937b4b30d0e57b9,https://proceedings.neurips.cc/paper/2020/file/96671501524948bc3937b4b30d0e57b9-Paper.pdf,"Positive impact. The proposed method for understanding longer texts is inspired by the theory of working memory in the human brain. After the success of pretraining language models that learn from extremely large corpus, it still remains mysterious how human being can memorize, understand, and conduct efficient yet effective reasoning process within a small memory budget, given a very few examples. Exploring such methods in fact may help design more elegant mechanism, or architecture that connects sub-models to solve complex tasks that require rich context and information. From a societal perspective, the proposed method can be also applied to many applications, e.g., legal document analysis, public opinion monitoring and searching.  Negative impact. With the help of such methods, social platforms may get better understanding about their users by analysing their daily posts. Longer texts understanding specifically provide more accurate and coherent interpretation of who they are, which is a privacy threat.",Broader Impact,151,8,,,FALSE,TRUE,FALSE,CogLTX: Applying BERT to Long Texts,Applications -> Natural Language Processing,Neuroscience and Cognitive Science -> Cognitive Science,Natural language processing,"['Ming Ding', ' Chang Zhou', ' Hongxia Yang', ' Jie Tang']","{'Alibaba Group', 'Tsinghua University'}",1,1,1,{'China'}
f-GAIL: Learning f-Divergence for Generative Adversarial Imitation Learning,"Xin Zhang, Yanhua Li, Ziming Zhang, Zhi-Li Zhang",f -GAIL: Learning f -Divergence for Generative Adversarial Imitation Learning,967990de5b3eac7b87d49a13c6834978,https://proceedings.neurips.cc/paper/2020/file/967990de5b3eac7b87d49a13c6834978-Paper.pdf,"This paper aims to advance the imitation learning techniques, by learning an optimal discrepancy measure from f -divergence family, which has a wide range of applications in robotic engineering, system automation and control, etc. The authors do not expect the work will address or introduce any societal or ethical issues.",Broader Impact,50,2,TRUE,TRUE,FALSE,FALSE,FALSE,f-GAIL: Learning f-Divergence for Generative Adversarial Imitation Learning,Reinforcement Learning and Planning -> Reinforcement Learning,Deep Learning -> Generative Models,Reinforcement learning and planning,"['Xin Zhang', ' Yanhua Li', ' Ziming Zhang', 'Li Zhang']","{'University of Minnesota', 'Worcester Polytechnic Institute'}",1,0,0,{'USA'}
Non-parametric Models for Non-negative Functions,"Ulysse Marteau-Ferey, Francis Bach, Alessandro Rudi",Non-parametric Models for Non-negative Functions,968b15768f3d19770471e9436d97913c,https://proceedings.neurips.cc/paper/2020/file/968b15768f3d19770471e9436d97913c-Paper.pdf,This work does not present any foreseeable societal consequence.,Broader Impact,9,1,TRUE,FALSE,FALSE,FALSE,FALSE,Non-parametric Models for Non-negative Functions,Theory -> Spaces of Functions and Kernels,Algorithms -> Kernel Methods; Theory -> Models of Learning and Generalization ; Theory -> Regularization; Theory -> Statistical Learning Theory,"Core machine learning methods (e.g., supervised learning, ranking, clustering, metric learning, etc.)","['Ferey', ' Francis Bach', ' Alessandro Rudi']","{'INRIA, Ecole Normale Superieure', 'DI ENS / INRIA', 'INRIA - Ecole Normale Superieure'}",1,0,0,{'France'}
Uncertainty Aware Semi-Supervised Learning on Graph Data,"Xujiang Zhao, Feng Chen, Shu Hu, Jin-Hee Cho",Uncertainty Aware Semi-Supervised Learning on Graph Data,968c9b4f09cbb7d7925f38aea3484111,https://proceedings.neurips.cc/paper/2020/file/968c9b4f09cbb7d7925f38aea3484111-Paper.pdf,"In this paper, we propose a uncertainty-aware semi-supervised learning framework of GNN for predicting multi-dimensional uncertainties for the task of semi-supervised node classification. Our proposed framework can be applied to a wide range of applications, including computer vision, natural language processing, recommendation systems, traffic prediction, generative models and many more [25]. Our proposed framework can be applied to predict multiple uncertainties of different roots for GNNs in these applications, improving the understanding of individual decisions, as well as the underlying models. While there will be important impacts resulting from the use of GNNs in general, our focus in this work is on investigating the impact of using our method to predict multi- source uncertainties for such systems. The additional benefits of this method include improvement of safety and transparency in decision-critical applications to avoid overconfident prediction, which can easily lead to misclassification. We see promising research opportunities that can adopt our uncertainty framework, such as investigating whether this uncertainty framework can further enhance misclassification detection or OOD detection. To mitigate the risk from different types of uncertainties, we encourage future research to understand the impacts of this proposed uncertainty framework to solve other real world problems.",Broader Impact,196,7,,,FALSE,FALSE,FALSE,Uncertainty Aware Semi-Supervised Learning on Graph Data,Algorithms -> Uncertainty Estimation,Algorithms -> Semi-Supervised Learning,Uncertainty,"['Xujiang Zhao', ' Feng Chen', ' Shu Hu', 'Hee Cho']","{'UT Dallas', 'Virginia Tech', 'The University of Texas at Dallas', 'University at Buffalo, State University of New York'}",1,0,0,{'USA'}
ConvBERT: Improving BERT with Span-based Dynamic Convolution,"Zi-Hang Jiang, Weihao Yu, Daquan Zhou, Yunpeng Chen, Jiashi Feng, Shuicheng Yan",ConvBERT: Improving BERT with Span-based Dynamic Convolution,96da2f590cd7246bbde0051047b0d6f7,https://proceedings.neurips.cc/paper/2020/file/96da2f590cd7246bbde0051047b0d6f7-Paper.pdf,"Positive impact The pre-training scheme has been widely deployed in the natural language processing field. It proposes to train a large model by self-supervised learning on large corpus at first and then fine-tune the model on downstream tasks quickly. Such a pre-training scheme has produced a series of powerful language models and BERT is one of the most popular one. In this work, we developed a new pre-training based language understanding model, ConvBERT. It offers smaller model size, lower training cost and better performance, compared with the BERT model. ConvBERT has multiple positive impacts. In contrary to the trend of further increasing model complexity for better performance, ConvBERT turns to making the model more efficient and saving the training cost. It will benefit the applications where the computation resource is limited. In terms of the methodology, it looks into the model backbone designs, instead of using distillation-alike algorithms that still require training a large teacher model beforehand, to make the model more efficient. We encourage researchers to build NLP models based on ConvBERT for tasks we can expect to be particularly beneficial, such as text-based counselling.  Negative impact Compared with BERT, ConvBERT is more efficient and saves the training cost, which can be used to detect and understand personal text posts on social platforms and brings privacy threat.",Broader impact,218,11,,,FALSE,TRUE,FALSE,ConvBERT: Improving BERT with Span-based Dynamic Convolution,Applications -> Natural Language Processing,Deep Learning -> Attention Models,Natural language processing,"['Hang Jiang', ' Weihao Yu', ' Daquan Zhou', ' Yunpeng Chen', ' Jiashi Feng', ' Shuicheng Yan']","{'Sun Yat-sen University', 'Yitu Technology', 'National University of Singapore'}",1,1,1,"{'Singapore', 'China'}"
Practical No-box Adversarial Attacks against DNNs,"Qizhang Li, Yiwen Guo, Hao Chen",Practical No-box Adversarial Attacks against DNNs,96e07156db854ca7b00b5df21716b0c6,https://proceedings.neurips.cc/paper/2020/file/96e07156db854ca7b00b5df21716b0c6-Paper.pdf,"This paper pushes the boundary of adversarial attacks on machine learning models by introducing a novel attack under a stronger threat model, where the attacker has neither white-box nor black-box access to the victim model. We show that the performance of our attack is sometimes even on par with that of black-box attacks. This significantly raises the bar for defending machine learning models, because it will no longer be adequate to keep the models confidential (against white-box attacks), and to keep the training data confidential and further limit the number of queries (against black-box attacks). Our findings call the machine learning and security communities into action to create novel defenses and robust models. Robust models shall make AI applicable to a wider range of business sectors, particularly those that are safety-critical, and accessible to a broader population, particularly those who are pessimistic about the trustworthiness of AI. Possible defenses to the proposed no-box attacks should be considered in future research. We found that adversarially trained models were not secure under these attacks, if the adversarial training was performed in a normal way (e.g., following the work of Madry et al.’s [29]). Specifically, our generated no-box adversarial examples led to a reasonably low accuracy (39.24%) on an adversarially trained ResNet, while the naive † baseline achieved 54.12%. A preliminary attempt of such a defense could be data augmentation using our adversarial examples, and it shall significantly improve the adversarial robustness to the proposed no-box attacks.",Broader Impact,244,9,,,FALSE,FALSE,FALSE,Practical No-box Adversarial Attacks against DNNs,Social Aspects of Machine Learning -> AI Safety,Algorithms -> Unsupervised Learning; Deep Learning -> Deep Autoencoders; Deep Learning -> Supervised Deep Networks,Deep learning,"['Qizhang Li', ' Yiwen Guo', ' Hao Chen']","{'UC Davis', 'ByteDance AI Lab'}",1,1,1,"{'USA', 'China'}"
Breaking the Sample Size Barrier in Model-Based Reinforcement Learning with a Generative Model,"Gen Li, Yuting Wei, Yuejie Chi, Yuantao Gu, Yuxin Chen",Breaking the Sample Size Barrier in Model-Based Reinforcement Learning with a Generative Model,96ea64f3a1aa2fd00c72faacf0cb8ac9,https://proceedings.neurips.cc/paper/2020/file/96ea64f3a1aa2fd00c72faacf0cb8ac9-Paper.pdf,This work is a theoretical contribution to characterize the minimax optimality of model-based reinforcement learning. The insights from the proposed algorithm can potentially be leveraged in various reinforcement learning tasks in the future.,Broader Impact,33,2,FALSE,FALSE,FALSE,FALSE,FALSE,Breaking the Sample Size Barrier in Model-Based Reinforcement Learning with a Generative Model,Reinforcement Learning and Planning,Algorithms -> Sparsity and Compressed Sensing; Reinforcement Learning and Planning -> Model-Based RL; Reinforcement Learning and Planning -> Planning; Theory -> High-Dimensional Inference; Theory -> Statistical Learning Theory,Reinforcement learning and planning,"['Gen Li', ' Yuting Wei', ' Yuejie Chi', ' Yuantao Gu', ' Yuxin Chen']","{'Princeton University', 'CMU', 'Tsinghua University', 'Carnegie Mellon University'}",1,0,0,"{'USA', 'China'}"
Walking in the Shadow: A New Perspective on Descent Directions for Constrained Minimization,"Hassan Mortagy, Swati Gupta, Sebastian Pokutta",Walking in the Shadow: A New Perspective on Descent Directions for Constrained Minimization,96f2d6069db8ad895c34e2285d25c0ed,https://proceedings.neurips.cc/paper/2020/file/96f2d6069db8ad895c34e2285d25c0ed-Paper.pdf,We believe that this work does not have any foreseeable negative ethical or societal impact.,8 Broader Impact,15,1,TRUE,FALSE,FALSE,FALSE,FALSE,Walking in the Shadow: A New Perspective on Descent Directions for Constrained Minimization,Optimization -> Convex Optimization,Optimization -> Discrete Optimization,Optimization Methods (continuous or discrete),"['Hassan Mortagy', ' Swati Gupta', ' Sebastian Pokutta']","{'Georgia Institute of Technology', 'Zuse Institute Berlin'}",1,0,0,"{'USA', 'Germany'}"
